phiX	phiX174	phiX=5386
deinRadi	Deinococcus radiodurans R1	plasmid_CP1=45704,plasmid_MP1=177466,chr2=412348,chr1=2648638
yersPest_CO92	Yersinia pestis CO92	chr=4653728,plasmid_pCD1=70305,plasmid_pPCP1=9612,plasmid_pMT1=96210
28585	Chlamydia trachomatis L2b/UCH-1/proctitis	NC_010280=1038869
wolbEndo_OF_DROSOPHIL	Wolbachia endosymbiont of Drosophila melanogaster	chr=1267782
17153	Streptococcus suis 05ZYH33	NC_009442=2096309
10689	Kineococcus radiotolerans SRS30216	NC_009806=182572,NC_009664=4761183,NC_009660=12917
17155	Streptococcus suis 98HAH33	NC_009443=2095698
17159	Campylobacter concisus 13826	NC_009802=2052007,NC_009796=16457,NC_009795=30949
ralsSola	Ralstonia solanacearum GMI1000	chr=3716413,plasmid_pGMI1000MP=2094509
10687	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	NC_005823=4277185,NC_005824=350181
17403	Frankia alni ACN14a	NC_008278=7497934
16871	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054=1864998
12388	Bacillus licheniformis ATCC 14580	NC_006270=4222597
neisMeni_Z2491_1	Neisseria meningitidis Z2491	chr=2184406
saliRube_DSM13855	Salinibacter ruber DSM 13855	chr=3551823,plasmid_pSR35=35505
17953	Campylobacter jejuni subsp. jejuni 81116	NC_009839=1628115
10616	Mycoplasma mycoides subsp. mycoides SC str. PG1	NC_005364=1211703
13496	Prochlorococcus marinus str. MIT 9303	NC_008820=2682675
28507	Clostridium botulinum A3 str. Loch Maree	NC_010520=3992906,NC_010418=266785
colwPsyc_34H	Colwellia psychrerythraea 34H	chr=5373180
hyphNept_ATCC15444	Hyphomonas neptunium ATCC 15444	chr=3705021
vibrChol1	Vibrio cholerae O1 biovar eltor str. N16961	chrII=1072315,chrI=2961149
deinGeot_DSM11300	Deinococcus geothermalis DSM 11300	chr=2467205,plasmid_1=574127
312	Buchnera aphidicola str. Sg (Schizaphis graminum)	NC_004061=641454
311	Streptococcus pyogenes MGAS315	NC_004070=1900521
metaSedu	Metallosphaera sedula DSM 5348	chr=2191517
314	Clostridium thermocellum ATCC 27405	NC_009012=3843301
lactSali_UCC118	Lactobacillus salivarius UCC118	plasmid_pSF118-20=20417,chr=1827111,plasmid_pMP118=242436,plasmid_pSF118-44=44013
pediPent_ATCC25745	Pediococcus pentosaceus ATCC 25745	chr=1832387
flavJohn_UW101	Flavobacterium johnsoniae UW101	chr=6096872
mannSucc_MBEL55E	Mannheimia succiniciproducens MBEL55E	chr=2314078
haemSomn_129PT	Haemophilus somnus 129PT	chr=2007700,plasmid_pHS129=5178
13145	Shigella dysenteriae Sd197	NC_007606=4369232,NC_007607=182726,NC_009344=8953
13146	Shigella boydii Sb227	NC_007613=4519823,NC_007608=126697
17491	Legionella pneumophila str. Corby	NC_009494=3576470
nanEqu1	Nanoarchaeum equitans Kin4-M	chr=490885
12508	Staphylococcus haemolyticus JCSC1435	NC_007168=2685015
13384	Pelobacter propionicus DSM 2379	NC_008609=4008000,NC_008608=30722,NC_008607=202397
chlaTrac	Chlamydia trachomatis D/UW-3/CX	chr=1042519
haloWals1	Haloquadratum walsbyi DSM 16790	chr=3132494,plasmid_PL47=46867
13389	Shewanella baltica OS195	NC_009998=75605,NC_009999=75508,NC_010000=49148,NC_009997=5347283
baciHalo	Bacillus halodurans C-125	chr=4202352
hypeButy1	Hyperthermus butylicus DSM 5456	chr=1667163
chroViol	Chromobacterium violaceum ATCC 12472	chr=4751080
16088	Francisella tularensis subsp. novicida U112	NC_008601=1910031
methJann1	Methanocaldococcus jannaschii DSM 2661	chr=1664970,lg_extrachr=58407,sm_extrachr=16550
384	Bacillus cereus ATCC 14579	NC_004721=15274,NC_004722=5411809
pastMult	Pasteurella multocida subsp. multocida str. Pm70	chr=2257487
386	Pseudomonas aeruginosa UCBPP-PA14	NC_008463=6537648
388	Haemophilus somnus 2336	NC_010519=2263857
16083	Alkaliphilus oremlandii OhILAs	NC_009922=3123558
27853	Francisella philomiragia subsp. philomiragia ATCC 25017	NC_010331=3936,NC_010336=2045775
16081	Mycobacterium sp. KMS	NC_008703=302089,NC_008704=216763,NC_008705=5737227
cytoHutc_ATCC33406	Cytophaga hutchinsonii ATCC 33406	chr=4433218
nitrEuro	Nitrosomonas europaea ATCC 19718	chr=2812094
12720	Enterobacter sakazakii ATCC BAA-894	NC_009780=131196,NC_009778=4368373,NC_009779=31208
therMari	Thermotoga maritima MSB8	chr=1860725
mycoGeni	Mycoplasma genitalium G37	chr=580076
vibrFisc_ES114_1	Vibrio fischeri ES114	chrII=1332022,plasmid_pES100=45849,chrI=2906179
pyroIsla1	Pyrobaculum islandicum DSM 4184	chr=1826402
17407	Burkholderia multivorans ATCC 17616	NC_010084=3448466,NC_010070=167422,NC_010086=2472928,NC_010087=919806
13030	Salmonella enterica subsp. arizonae serovar 62:z4,z23:--	NC_010067=4600800
18271	Rickettsia massiliae MTU5	NC_009897=15286,NC_009900=1360898
21047	Candidatus Desulforudis audaxviator MP104C	NC_010424=2349476
19857	Vibrio harveyi ATCC BAA-1116	NC_009783.1=3765351,NC_009777.1=89008,NC_009784.1=2204018
17639	Parvibaculum lavamentivorans DS-1	NC_009719=3914745
18059	Mycobacterium bovis BCG str. Pasteur 1173P2	NC_008769=4374522
vibrPara1	Vibrio parahaemolyticus RIMD 2210633	chrII=1877212,chrI=3288558
259	Escherichia coli O157:H7 EDL933	NC_007414=92077,NC_002655=5528445
64	Staphylococcus epidermidis RP62A	NC_006663=27310,NC_002976=2616530
neisGono_FA1090_1	Neisseria gonorrhoeae FA 1090	chr=2153922
66	Streptococcus gordonii str. Challis substr. CH1	NC_009785=2196662
16723	Aeromonas salmonicida subsp. salmonicida A449	NC_009349=166749,NC_009348=4702402,NC_009350=155098,NC_004923=5424,NC_004924=5616,NC_004925=5247
16230	Mycobacterium ulcerans Agy99	NC_008611=5631606
16721	Coxiella burnetii Dugway 5J108-111	NC_009727=2158758,NC_009726=54179
16720	Pseudomonas aeruginosa PA7	NC_009656=6588339
256	Buchnera aphidicola str. Bp (Baizongia pistaciae)	NC_004555=2399,NC_004545=615980
257	Chlamydophila pneumoniae J138	NC_002491=1226565
novoArom_DSM12444	Novosphingobium aromaticivorans DSM 12444	chr=3561584,plasmid_pNL2=487268,plasmid_pNL1=184462
15642	Mycobacterium tuberculosis F11	NC_009565=4424435
azoaSp_EBN1	Azoarcus sp. EbN1	plasmid_2=223670,chr=4296230,plasmid_1=207355
therTher_HB27	Thermus thermophilus HB27	chr=1894877,plasmid_pTT27=232605
metAce1	Methanosarcina acetivorans C2A	chr=5751492
glucOxyd_621H	Gluconobacter oxydans 621H	plasmid_pGOX2=26568,plasmid_pGOX1=163186,chr=2702173,plasmid_pGOX3=14547,plasmid_pGOX4=13223,plasmid_pGOX5=2687
listInno	Listeria innocua Clip11262	chr=3011208,plasmid_pLI100=81905
sulfAcid1	Sulfolobus acidocaldarius DSM 639	chr=2225959
geobTher_NG80_2	Geobacillus thermodenitrificans NG80-2	chr=3550319,plasmid_pLW1071=57693
402	Lactobacillus casei ATCC 334	NC_008502=29061,NC_008526=2895264
13960	Escherichia coli E24377A	NC_009789=6199,NC_009788=70609,NC_009801=4979619,NC_009790=74224,NC_009791=5033,NC_009787=34367,NC_009786=79237
13954	Burkholderia pseudomallei 1710b	NC_007435=3181762,NC_007434=4126292
17445	Marinomonas sp. MWYL1	NC_009654=5100344
13967	Corynebacterium jeikeium K411	NC_003080=14323,NC_007164=2462499
leifXyli_XYLI_CTCB0	Leifsonia xyli subsp. xyli str. CTCB07	chr=2584158
10645	Synechococcus elongatus PCC 7942	NC_007604=2695903,NC_007595=46366
campFetu_82_40	Campylobacter fetus subsp. fetus 82-40	chr=1773615
13355	Ehrlichia ruminantium str. Welgevonden	NC_006832=1512977
desuHafn_Y51	Desulfitobacterium hafniense Y51	chr=5727534
13356	Ehrlichia ruminantium str. Gardel	NC_006831=1499920
13291	Bacillus clausii KSM-K16	NC_006582=4303871
16421	Francisella tularensis subsp. holarctica	NC_007880=1895994
therVolc1	Thermoplasma volcanium GSS1	chr=1584804
soliUsit_ELLIN6076	Solibacter usitatus Ellin6076	chr=9965640
bradJapo	Bradyrhizobium japonicum USDA 110	chr=9105828
methTher1	Methanothermobacter thermautotrophicus str. Delta H	chr=1751377
13454	Pseudoalteromonas atlantica T6c	NC_008228=5187005
methAeol1	Methanococcus aeolicus Nankai-3	chr=1569500
nostSp	Nostoc sp. PCC 7120	plasmid_pCC7120delta=55414,plasmid_pCC7120beta=186614,chr=6413771,plasmid_pCC7120gamma=101965,plasmid_pCC7120alpha=408101,plasmid_pCC7120zeta=5584,plasmid_pCC7120epsilon=40340
sphiAlas_RB2256	Sphingopyxis alaskensis RB2256	F_plasmid=28543,chr=3345170
saccDegr_2_40	Saccharophagus degradans 2-40	chr=5057531
408	Shigella flexneri 2a str. 2457T	NC_004741=4599354
anaeDeha_2CP_C	Anaeromyxobacter dehalogenans 2CP-C	chr=5013479
bordBron	Bordetella bronchiseptica RB50	chr=5339179
rickBell_RML369_C	Rickettsia bellii RML369-C	chr=1522076
pyroArse1	Pyrobaculum arsenaticum DSM 13514	chr=2121076
thioDeni_ATCC33889	Sulfurimonas denitrificans DSM 1251	chr=2201561
methSmit1	Methanobrevibacter smithii ATCC 35061	chr=1853160
halMar1	Haloarcula marismortui ATCC 43049	chrII=288050,plasmid_pNG600=155300,plasmid_pNG100=33303,plasmid_pNG200=33452,plasmid_pNG500=132678,plasmid_pNG400=50060,plasmid_pNG300=39521,chrI=3131724,plasmid_pNG700=410554
9618	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	NC_006855=49558,NC_006856=138742,NC_006905=4755700
9619	Brucella abortus biovar 1 str. 9-941	NC_006933=1162204,NC_006932=2124241
vermEise_EF01_2	Verminephrobacter eiseniae EF01-2	chr=5566749,plasmid_pVEIS01=31194
granBeth_CGDNIH1	Granulibacter bethesdensis CGDNIH1	chr=2708355
alcaBork_SK2	Alcanivorax borkumensis SK2	chr=3120143
vibrChol_O395_1	Vibrio cholerae O395	chr2=3024069,chr1=1108250
nitrOcea_ATCC19707	Nitrosococcus oceani ATCC 19707	chr=3481691,plasmid_A=40420
campJeju_RM1221	Campylobacter jejuni RM1221	chr=1777831
12468	Bacillus cereus E33L	NC_007103=466370,NC_007105=53501,NC_007104=5108,NC_007107=9150,NC_007106=8191,NC_006274=5300915
12469	Streptococcus pyogenes MGAS10394	NC_006086=1899877
19135	Actinobacillus pleuropneumoniae serovar 3 str. JL03	NC_010278=2242062
woliSucc	Wolinella succinogenes DSM 1740	chr=2110355
19485	Ochrobactrum anthropi ATCC 49188	NC_009668=1895911,NC_009669=170351,NC_009667=2887297,NC_009671=93589,NC_009670=101491,NC_009672=57138
therPend1	Thermofilum pendens Hrk 5	chr=1781889,pTPEN01=31504
19489	Staphylococcus aureus subsp. aureus USA300_TCH1516	NC_010079=2872915,NC_010063=27041
therFusc_YX	Thermobifida fusca YX	chr=3642249
12609	Chlorobium phaeobacteroides DSM 266	NC_008639=3133902
aquiAeol	Aquifex aeolicus VF5	chr=1551335,plasmid_ece1=39456
heliPylo_J99	Helicobacter pylori J99	chr=1643831
burkPseu_1106A	Burkholderia pseudomallei 1106a	chrII=3100794,chrI=3988455
azorCaul2	Azorhizobium caulinodans ORS 571	chr=5369772
12607	Prosthecochloris vibrioformis DSM 265	NC_009337=1966858
synePCC6	Synechocystis sp. PCC 6803	plasmid_pSYSG=44343,chr=3573470,plasmid_pSYSM=119895,plasmid_pSYSA=103307,plasmid_pSYSX=106004
baumCica_HOMALODISCA	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	chr=686194
355	Chlamydophila abortus S26/3	NC_004552=1144377
28111	Sorangium cellulosum 'So ce 56'	NC_010162=13033779
shewBalt	Shewanella baltica OS155	plasmid_pSbal04=7995,chr=5127376,plasmid_pSbal01=116763,plasmid_pSbal02=74000,plasmid_pSbal03=16762
therTeng	Thermoanaerobacter tengcongensis MB4	chr=2689445
359	Pseudomonas syringae pv. tomato str. DC3000	NC_004632=67473,NC_004578=6397126,NC_004633=73661
19943	Rickettsia rickettsii str. Iowa	NC_010263=1268175
alkaEhrl_MLHE_1	Alkalilimnicola ehrlichei MLHE-1	chr=3275944
sulSol1	Sulfolobus solfataricus P2	chr=2992245
15604	Dehalococcoides sp. CBDB1	NC_007356=1395502
19265	Nitrosopumilus maritimus SCM1	NC_010085=1645259
19543	Thermotoga sp. RQ2	
methHung1	Methanospirillum hungatei JF-1	chr=3544738
27803	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	NC_010102=4858887
28505	Clostridium botulinum B1 str. Okra	NC_010516=3958233,NC_010379=148780
15766	Lactobacillus reuteri F275	NC_009513=1999618
17929	Burkholderia cenocepacia MC0-3	NC_010512=1224595,NC_010508=3532883,NC_010515=3213911
15762	Mycobacterium sp. MCS	NC_008146=5705448,NC_008147=215075
15760	Mycobacterium gilvum PYR-GCK	NC_009341=16660,NC_009340=25309,NC_009338=5619607,NC_009339=321253
15761	Mycobacterium vanbaalenii PYR-1	NC_008726=6491865
18797	Lactococcus lactis subsp. cremoris MG1363	NC_009004=2529478
20371	Brucella suis ATCC 23445	NC_010167=1400844,NC_010169=1923763
desuVulg_HILDENBOROUG	Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough	chr=3570858,megaplasmid=202301
20079	Escherichia coli DH10B	NC_010473=4686137
288	Yersinia pestis KIM	NC_004838=100990,NC_004088=4600755
13006	Alkaliphilus metalliredigens QYMF	NC_009633=4929566
13001	Acinetobacter baumannii	NC_010398=24922,NC_010400=3421954,NC_010395=6106,NC_010396=25014
4	Treponema denticola ATCC 35405	NC_002967=2843201
283	Agrobacterium tumefaciens str. C58	NC_003062=2841580,NC_003063=2075577,NC_003064=542868,NC_003065=214233
methVann1	Methanococcus vannielii SB	chr=1720048
285	Xylella fastidiosa Temecula1	NC_004556=2519802,NC_004554=1346
286	Streptococcus pyogenes MGAS8232	NC_003485=1895017
candCars_RUDDII	Candidatus Carsonella ruddii PV	chr=159662
336	Anaplasma phagocytophilum HZ	NC_007797=1471282
burkMall_ATCC23344	Burkholderia mallei ATCC 23344	chr2=2325379,chr1=3510148
leucMese_ATCC8293	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	chr=2038396,plasmid_pLEUM1=37367
burkViet_G4	Burkholderia vietnamiensis G4	chr3=1241007,chr2=2411759,chr1=3652814,plasmid_pBVIE04=107231,plasmid_pBVIE05=88096,plasmid_pBVIE02=265616,plasmid_pBVIE03=226679,plasmid_pBVIE01=397868
267	Pseudomonas putida KT2440	NC_002947=6181863
266	Staphylococcus aureus subsp. aureus MSSA476	NC_005951=20652,NC_002953=2799802
265	Staphylococcus aureus subsp. aureus MRSA252	NC_002952=2902619
264	Staphylococcus aureus subsp. aureus N315	NC_003140=24653,NC_002745=2814816
17643	Shewanella baltica OS185	NC_009665=5229686,NC_009661=83224
archFulg1	Archaeoglobus fulgidus DSM 4304	chr=2178400
13418	Polaromonas naphthalenivorans CJ2	NC_008757=353291,NC_008759=171866,NC_008758=190172,NC_008781=4410291,NC_008764=6459,NC_008760=143747,NC_008761=58808,NC_008762=21611,NC_008763=9898
18007	Desulfococcus oleovorans Hxd3	NC_009943=3944167
16304	Sinorhizobium medicae WSM419	NC_009622=219313,NC_009620=1570951,NC_009621=1245408,NC_009636=3781904
16306	Caulobacter sp. K31	NC_010333=177878,NC_010338=5477872,NC_010335=233649
59	Chloroflexus aurantiacus J-10-fl	NC_010175=5258541
12530	Synechococcus sp. CC9311	NC_008319=2606748
13551	Prochlorococcus marinus str. MIT 9211	NC_009976=1688963
15691	Mycobacterium abscessus	NC_010394=23319,NC_010397=5067172
fusoNucl	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	chr=2174500
63	Staphylococcus aureus RF122	NC_007622=2742531
heliHepa	Helicobacter hepaticus ATCC 51449	chr=1799146
17249	Thermosipho melanesiensis BI429	NC_009616=1915238
15596	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	NC_007350=2516575,NC_007351=38454,NC_007352=22870
psycIngr_37	Psychromonas ingrahamii 37	chr=4559598
syntAcid_SB	Syntrophus aciditrophicus SB	chr=3179300
salmTyph	Salmonella enterica subsp. enterica serovar Typhi str. CT18	plasmid_pHCM2=106516,chr=4809037,plasmid_pHCM1=218160
burkXeno_LB400	Burkholderia xenovorans LB400	chr3=1471779,chr2=3363523,chr1=4895836
trepPall	Treponema pallidum subsp. pallidum str. Nichols	chr=1138011
neisMeni_MC58_1	Neisseria meningitidis MC58	chr=2272360
syntWolf_GOETTINGEN	Syntrophomonas wolfei subsp. wolfei str. Goettingen	chr=2936195
15644	Thermotoga lettingae TMO	NC_009828=2135342
13913	Nitrosomonas eutropha C91	NC_008342=55635,NC_008341=65132,NC_008344=2661057
17417	Dinoroseobacter shibae DFL 12	NC_009958=86208,NC_009959=72296,NC_009955=190506,NC_009956=152970,NC_009957=126304,NC_009952=3789584
13911	Prochlorococcus marinus str. NATL2A	NC_007335=1842899
13910	Prochlorococcus marinus str. MIT 9312	NC_007577=1709204
250	Ralstonia metallidurans CH34	NC_007974=2580084,NC_007971=233720,NC_007972=171459,NC_007973=3928089
13915	Frankia sp. EAN1pec	NC_009921=8982042
13914	Ignicoccus hospitalis KIN4/I	NC_009776=1297538
rhodSpha_2_4_1	Rhodobacter sphaeroides 2.4.1	chr2=943016,chr1=3188609,plasmid_B=114178,plasmid_C=105284,plasmid_A=114045,plasmid_D=100828,plasmid_E=37100
16235	Escherichia coli 536	NC_008253=4938920
zymoMobi_ZM4	Zymomonas mobilis subsp. mobilis ZM4	chr=2056416
rhodPalu_CGA009	Rhodopseudomonas palustris CGA009	chr=5459213,plasmid_pRPA=8427
420	Chlamydophila pneumoniae TW-183	NC_005043=1225935
stapMari1	Staphylothermus marinus F1	chr=1570485
sinoMeli	Sinorhizobium meliloti 1021	chr=3654135,plasmid_pSymA=1354226,plasmid_pSymB=1683333
bartHens_HOUSTON_1	Bartonella henselae str. Houston-1	chr=1931047
301	Streptococcus pyogenes SSI-1	NC_004606=1894275
19193	Corynebacterium glutamicum R	NC_009343=49120,NC_009342=3314179
304	Clostridium perfringens ATCC 13124	NC_008261=3256683
306	Staphylococcus aureus subsp. aureus MW2	NC_003923=2820462
307	Corynebacterium glutamicum ATCC 13032	NC_003450=3309401
caulCres	Caulobacter crescentus CB15	chr=4016947
haheChej_KCTC_2396	Hahella chejuensis KCTC 2396	chr=7215267
10784	Bacillus anthracis str. 'Ames Ancestor'	NC_007530=5227419,NC_007323=94830,NC_007322=181677
magnMC1	Magnetococcus sp. MC-1	chr=4719581
heliPylo_HPAG1	Helicobacter pylori HPAG1	chr=1596366,plasmid_pHPAG1=9370
pyrHor1	Pyrococcus horikoshii OT3	chr=1738505
12514	Brucella ovis ATCC 25840	NC_009505=2111370,NC_009504=1164220
12512	Arthrobacter aurescens TC1	NC_008711=4597686,NC_008713=300725,NC_008712=328237
actiPleu_L20	Actinobacillus pleuropneumoniae L20	chr=2274482
paraDeni_PD1222	Paracoccus denitrificans PD1222	plasmid_1=653815,chr2=1730097,chr1=2852282
borrBurg	Borrelia burgdorferi B31	plasmid_cp26=26498,plasmid_lp21=18753,plasmid_lp25=24177,plasmid_lp28-4=27323,plasmid_lp28-2=29766,plasmid_lp28-3=28601,plasmid_lp28-1=26921,chr=910724,plasmid_cp9=9386,plasmid_lp5=5228,plasmid_lp38=38829,plasmid_lp17=16823,plasmid_cp32-1=30750,plasmid_cp32-6=29838,plasmid_cp32-7=30800,plasmid_cp32-4=30299,plasmid_cp32-8=30885,plasmid_cp32-9=30651,plasmid_lp36=36849,plasmid_lp56=52971,plasmid_lp54=53561,plasmid_cp32-3=30223
strePyog_M1_GAS	Streptococcus pyogenes M1 GAS	chr=1852441
pseuAeru	Pseudomonas aeruginosa PAO1	chr=6264404
16523	Herpetosiphon aurantiacus ATCC 23779	NC_009974=99204,NC_009972=6346587,NC_009973=339639
16525	Candidatus Korarchaeum cryptofilum OPF8	NC_010482=1590757
19619	Lysinibacillus sphaericus C3-41	NC_010382=4639821,NC_010381=177642
19617	Candidatus Sulcia muelleri GWSS	NC_010118=245530
saccEryt_NRRL_2338	Saccharopolyspora erythraea NRRL 2338	chr=8212805
methCaps_BATH	Methylococcus capsulatus str. Bath	chr=3304561
16645	Yersinia pestis Antiqua	NC_008150=4702289,NC_008122=70299,NC_008120=96471,NC_008121=10777
16646	Yersinia pestis Nepal516	NC_008149=4534590,NC_008119=10778,NC_008118=100918
12637	Clostridium beijerinckii NCIMB 8052	NC_009617=6000632
ehrlRumi_WELGEVONDEN	Ehrlichia ruminantium str. Welgevonden	chr=1516355
methLabrZ_1	Methanocorpusculum labreanum Z	chr=1804962
vibrVuln_YJ016_1	Vibrio vulnificus YJ016	plasmid_pYJ016=48508,chrII=1857073,chrI=3354505
13773	Streptococcus thermophilus LMD-9	NC_008500=4449,NC_008501=3361,NC_008532=1856368
20039	Leptothrix cholodnii SP-6	
shewAmaz	Shewanella amazonensis SB2B	chr=4306142
13126	Legionella pneumophila str. Lens	NC_006369=3345687,NC_006366=59832
13127	Legionella pneumophila str. Paris	NC_006368=3503610,NC_006365=131885
13120	Mycoplasma hyopneumoniae 232	NC_006360=892758
18509	Staphylococcus aureus subsp. aureus Mu3	NC_009782=2880168
13040	Silicibacter sp. TM1040	NC_008043=821788,NC_008042=130973,NC_008044=3200938
18267	Candidatus Vesicomyosocius okutanii HA	NC_009465=1022154
methFlag_KT	Methylobacillus flagellatus KT	chr=2971517
therAcid1	Thermoplasma acidophilum DSM 1728	chr=1564906
therPetr_RKU_1	Thermotoga petrophila RKU-1	chr=1823511
shewFrig	Shewanella frigidimarina NCIMB 400	chr=4845257
photProf_SS9	Photobacterium profundum SS9	chr2=2237943,chr1=4085304,plasmid_pPBPR1=80033
burkThai_E264	Burkholderia thailandensis E264	chrII=2914771,chrI=3809201
17811	Lactobacillus helveticus DPC 4571	NC_010080=2080931
229	Chlamydia muridarum Nigg	NC_002182=7501,NC_002620=1072950
228	Chlamydophila caviae GPIC	NC_004720=7966,NC_003361=1173390
nitrMult_ATCC25196	Nitrosospira multiformis ATCC 25196	plasmid_2=17036,plasmid_3=14159,plasmid_1=18871,chr1=3184243
223	Mycobacterium tuberculosis CDC1551	NC_002755=4403837
220	Prochlorococcus marinus str. MIT 9313	NC_005071=2410873
20241	Shewanella halifaxensis HAW-EB4	NC_010334=5226917
20243	Brucella canis ATCC 23365	NC_010104=1206800,NC_010103=2105969
88	Mycobacterium avium 104	NC_008595=5475491
19227	Renibacterium salmoninarum ATCC 33209	NC_010168=3155250
neisMeni_FAM18_1	Neisseria meningitidis FAM18	chr=2194961
arthFB24	Arthrobacter sp. FB24	plasmid_2=115507,plasmid_3=96488,plasmid_1=159538,chr1=4698945
10679	Rickettsia typhi str. Wilmington	NC_006142=1111496
17457	Pseudomonas mendocina ymp	NC_009439=5072807
13959	Escherichia coli HS	NC_009800=4643538
17455	Shewanella woodyi ATCC 51908	NC_010506=5935403
